'GottL746.positive_idempotent_le_cofinite' depends on axioms: [propext, Classical.choice, Quot.sound]
'GottL746.eventually_gt_nat' depends on axioms: [propext, Classical.choice, Quot.sound]
'GottL746.exists_positive_idempotent' depends on axioms: [propext, Classical.choice, Quot.sound]
'GottL746.eventually_add_first' depends on axioms: [propext, Classical.choice, Quot.sound]
'GottL746.eventually_add_second' depends on axioms: [propext, Classical.choice, Quot.sound]
'GottL746.eventually_pair_not' depends on axioms: [propext, Classical.choice, Quot.sound]
'GottL746.not_eventually_direct' depends on axioms: [propext, Classical.choice, Quot.sound]
'GottL746.not_eventually_left_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'GottL746.not_eventually_right_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'GottL746.independent_sums_eventually' depends on axioms: [propext, Classical.choice, Quot.sound]
'GottL746.boundedPullback_cliqueFree' depends on axioms: [propext, Classical.choice, Quot.sound]
'GottL746.ultrafilterGraph_cliqueFree' depends on axioms: [propext, Classical.choice, Quot.sound]
'GottL746.finiteSchur_of_boundedPullback' depends on axioms: [propext, Quot.sound]
'GottL746.eventual_finite_schur_of_infinite' depends on axioms: [propext, Classical.choice, Quot.sound]
'GottL746.eventual_finite_schur_explicit_of_infinite' depends on axioms: [propext, Classical.choice, Quot.sound]
'GottL746.positive_relation_schur' depends on axioms: [propext, Classical.choice, Quot.sound]
'GottL746.positive_schur' depends on axioms: [propext, Classical.choice, Quot.sound]
'GottL746.integer_schur' depends on axioms: [propext, Classical.choice, Quot.sound]
'GottL746.erdos_895' depends on axioms: [propext, Classical.choice, Quot.sound]
